"Study_id","train_layer","test_layer","threshold","TP","FN","TN","FP","specificity","precision","recall","f1_score","balanced_accuracy","mcc","mse","rmse"
"1_Bartomeus",1,5,0.7,6.42,7.58,10.5,3.5,0.75,0.657667388167388,0.458571428571429,0.530344826155742,0.604285714285714,0.22276427845583,4.21340322548258,1.941798358958
"1_Bartomeus",1,5,0.8,3,11,12.54,1.46,0.895714285714286,0.689026563006155,0.214285714285714,0.330074505604313,0.555,0.156314136691452,4.21340322548258,1.941798358958
"1_Bartomeus",1,5,0.9,1.4,12.6,13.26,0.74,0.947142857142857,0.688888888888889,0.1,0.195101839185287,0.523571428571429,0.100689346267188,4.21340322548258,1.941798358958
"1_Bartomeus",1,5,1,0,14,14,0,1,NA,0,NA,0.5,NA,4.21340322548258,1.941798358958
"1_Bartomeus",1,6,0,5,0,0,5,0,0.5,1,0.666666666666667,0.5,NA,3.32518777416998,1.69994980234927
"1_Bartomeus",1,6,0.1,5,0,0,5,0,0.5,1,0.666666666666667,0.5,NA,3.32518777416998,1.69994980234927
"1_Bartomeus",1,6,0.2,5,0,0,5,0,0.5,1,0.666666666666667,0.5,NA,3.32518777416998,1.69994980234927
"1_Bartomeus",1,6,0.3,5,0,0,5,0,0.5,1,0.666666666666667,0.5,NA,3.32518777416998,1.69994980234927
"1_Bartomeus",1,6,0.4,5,0,0,5,0,0.5,1,0.666666666666667,0.5,NA,3.32518777416998,1.69994980234927
"1_Bartomeus",1,6,0.5,4,1,1.88,3.12,0.376,0.579412698412698,0.8,0.66134188034188,0.588,0.199545588855293,3.32518777416998,1.69994980234927
"1_Bartomeus",1,6,0.6,2.48,2.52,3.5,1.5,0.7,0.662428571428571,0.496,0.552034077034077,0.598,0.217870231107257,3.32518777416998,1.69994980234927
"1_Bartomeus",1,6,0.7,0.46,4.54,4.84,0.16,0.968,0.786666666666667,0.092,0.348072562358277,0.53,0.195395382276106,3.32518777416998,1.69994980234927
"1_Bartomeus",1,6,0.8,0,5,4.92,0.08,0.984,0,0,NA,0.492,-0.388888888888889,3.32518777416998,1.69994980234927
"1_Bartomeus",1,6,0.9,0,5,5,0,1,NA,0,NA,0.5,NA,3.32518777416998,1.69994980234927
"1_Bartomeus",1,6,1,0,5,5,0,1,NA,0,NA,0.5,NA,3.32518777416998,1.69994980234927
"1_Bartomeus",1,7,0,7,0,0,7,0,0.5,1,0.666666666666667,0.5,NA,9.45077329436432,2.61971683132926
"1_Bartomeus",1,7,0.1,7,0,0,7,0,0.5,1,0.666666666666667,0.5,NA,9.45077329436432,2.61971683132926
"1_Bartomeus",1,7,0.2,7,0,0,7,0,0.5,1,0.666666666666667,0.5,NA,9.45077329436432,2.61971683132926
"1_Bartomeus",1,7,0.3,7,0,0,7,0,0.5,1,0.666666666666667,0.5,NA,9.45077329436432,2.61971683132926
"1_Bartomeus",1,7,0.4,7,0,0,7,0,0.5,1,0.666666666666667,0.5,NA,9.45077329436432,2.61971683132926
